name	numWords	numUniqWords	words
ach_gov_ru	27475	9391	степашин, 745;счетной, 475;палата, 471;счетная, 467;палаты, 380;рф, 303;россии, 254;сп, 229;федерации, 218;сергей, 204;российской, 191;проверила, 170;средств, 157;председатель, 108;степашина, 89;бюджета, 83;газета, 81;видео, 73;палате, 72;подробнее, 68;новости, 67;
advorkovich	15840	7984	да, 155;спасибо, 147;сегодня, 111;очень, 83;было, 70;будет, 65;был, 59;поздравляю, 51;знаю, 49;можно, 48;россии, 47;всем, 45;рождения, 43;днем, 39;россия, 36;матч, 36;лет, 35;всех, 34;хорошо, 33;правительства, 32;много, 31;
arbitr_ru	15120	2738	рф, 2301;вас, 2294;президиума, 2252;постановление, 2141;опубликовано, 1969;состоится, 100;заседание, 98;повестка, 79;российской, 65;федерации, 58;подробнее, 49;суда, 46;арбитражного, 42;года, 38;высшего, 37;очередное, 29;президиум, 29;арбитражных, 29;судей, 20;"о, 16;судов, 15;
AstakhovRussia	8709	5586	детей, 75;всех, 34;спасибо, 30;ребенка, 28;будет, 27;очень, 27;рф, 25;поздравляю, 21;сегодня, 21;вопрос, 18;россии, 17;дети, 16;всего, 16;лет, 15;сша, 15;должны, 15;может, 14;завтра, 14;лучше, 14;семьи, 14;праздником, 14;
DmitryLivanov	6821	4174	будет, 44;россии, 39;сегодня, 33;спасибо, 31;образования, 26;вузов, 23;студентов, 23;года, 21;минобрнауки, 21;науки, 19;совета, 18;всех, 18;сейчас, 17;ргтэу, 17;очень, 17;всем, 16;лет, 16;было, 16;году, 15;преподавателей, 14;был, 13;
dumagovru	25380	4936	государственной, 976;заседание, 755;думы, 594;пленарное, 532;госдумы, 498;думе, 362;следующие, 327;председатель, 323;комитета, 283;мая, 237;апреля, 237;состоятся, 235;мероприятия, 229;марта, 212;тему, 210;состоится, 208;февраля, 195;июня, 193;председателя, 193;года, 181;вечернее, 180;
EPGU	7060	2619	добрый, 81;портале, 64;можно, 59;проблема, 59;номер, 58;вас, 55;снилс, 51;уточните, 46;портала, 45;пожалуйста, 43;вам, 42;спасибо, 42;можете, 41;портал, 41;проблемы, 38;фмс, 38;личку, 37;получить, 34;госуслуг, 33;услуги, 33;услуг, 29;
fadm_ru	14107	5723	селигер2013, 627;росмолодежь, 605;fadm, 491;гражданскийфорум, 264;seliger2013, 241;фадм, 193;форума, 69;молодежи, 69;сергей, 68;россии, 67;проектов, 60;форум, 58;проект, 52;iconv2012, 47;росмолодёжь, 47;молодежных, 44;участники, 40;пройдет, 39;июня, 37;селигер, 37;сегодня, 35;
FFMS_News	1768	856	фсфр, 130;россии, 115;ооо, 23;лицензии, 21;проект, 15;закон, 15;оао, 14;аннулировала, 13;ценных, 13;рынка, 12;суд, 11;бумаг, 11;чтении, 10;руководителя, 10;отказал, 9;сайте, 9;ввела, 8;принят, 8;запрет, 8;арбитражный, 8;компания, 8;
fish_gov_ru	28409	8056	fish, 2008;россии, 353;росрыболовство, 308;рыбоохрана, 266;области, 246;рыбы, 205;росрыболовства, 159;года, 143;рыбной, 135;отрасли, 130;водных, 112;вылов, 104;тонн, 103;итоги, 99;рыбаки, 94;рыб, 90;году, 89;рф, 84;тыс, 84;млн, 79;биоресурсов, 76;
FSIN_Russia	27978	6450	россии, 2087;уфсин, 1344;области, 1155;гуфсин, 537;республике, 426;фсин, 348;краю, 298;сотрудники, 247;колонии, 243;участие, 160;прошел, 147;осужденных, 132;воспитательной, 128;архангельской, 119;уис, 116;посетили, 113;свердловской, 105;приняли, 101;посетил, 100;по…, 98;осужденные, 94;
Genproc	33372	6710	области, 960;прокуратура, 608;дело, 568;суд, 566;уголовное, 482;прокуратуры, 391;отношении, 349;рф, 344;рублей, 302;млн, 290;возбуждено, 244;прокурора, 214;проверки, 196;более, 188;приговор, 188;направлено, 184;крае, 179;судом, 171;прокурорской, 163;осужден, 147;вынесен, 143;
G_Poltavchenko	13960	6130	спасибо, 263;всем, 186;ночи, 173;вам, 158;вас, 137;спокойной, 133;взаимно, 112;да, 101;будет, 72;очень, 68;&quot, 64;всё, 57;сегодня, 57;праздником, 56;всех, 55;можно, 52;точно, 43;был, 43;будем, 42;доброй, 41;надеюсь, 41;
KremlinRussia_E	23711	3772	the, 1722;of, 1075;to, 611;with, 600;on, 565;president, 555;and, 541;in, 448;meeting, 400;medvedev, 400;dmitry, 331;has, 323;vladimir, 300;putin, 298;for, 261;will, 175;at, 135;minister, 131;be, 126;met, 124;is, 109;
