twitter	name
ach_gov_ru	Счетная Палата России 
arbitr_ru	Верховный арбитражный суд 
dumagovru	Государственная Дума
EPGU	Портал Государственных Услуг 
fadm_ru	Росмолодежь
FFMS_News	ФСФР России
fish_gov_ru	Росрыболовство
FSIN_Russia	ФСИН России
Genproc	Генеральная прокуратура
MchsRussia	МЧС России
MID_RF	МИД РФ
Military_Russia	МинОбороны РФ
MinenergoМинэнерго России
MinistryEconomy	Минэкономразвития России 
minobrnauki_ru	Минобрнауки РФ
minpromtorg_rus	Минпромторг России 
Minselhoz	Минсельхоз России
minsvyaz_news	Минкомсвязь России 
MintransRF	Минтранс России
MintrudRF	Минтруд РФ
MinVostok	Минвостокразвития
MINZDRAV_RF	Минздрав РФ
MNR_Government	Минприроды России 
mvd_official	Сайт МВД России
obrnadzor	Рособрнадзор
pravitelstvo_rf	Правительство Российской Федерации 
Rfdeti	Павел Астахов
roscomnadzor	Роскомнадзор
Rosleshoz	Рослесхоз
rosnano_ru	Роснано
rosreestr_info	Росреестр
rossvyaz_news	Россвязь
rostourizm	Ростуризм
Rostransnadzor	Ространснадзор
RSРоссотрудничество
rus_fas	ФАС России
ru_minfin	Минфин России
sk_ru	Сколково
sledcom_rf	Следственный Комитет
